tconst,averageRating,numVotes
tt0035423,6.4,83497
tt0062336,6.4,161
tt0069049,6.7,7181
tt0088751,5.2,319
tt0093119,2.9,1103
tt0094859,7.9,82
tt0096056,5.6,812
tt0100275,6.4,332
tt0108549,7.5,32
tt0113026,5.5,1368
tt0113092,3.4,815
tt0114447,4.2,152
tt0115937,7.7,13
tt0116391,6.3,241
tt0116628,6.3,62
tt0116991,7.2,70
tt0117743,6.8,59
tt0118141,5.4,906
tt0118589,2.4,23438
tt0118652,4.9,1818
tt0118694,8.1,144125
tt0118710,6.3,154
tt0118852,7.1,4261
tt0118926,6.9,6614
tt0119004,5.6,4398
tt0119231,4.4,184
tt0119273,5.3,8443
tt0119495,5.0,149
tt0119806,6.0,42
tt0119966,6.6,8
tt0119970,3.7,122
tt0119980,6.5,75
tt0120166,4.3,590
tt0120202,6.7,21255
tt0120263,7.5,18898
tt0120467,5.2,4100
tt0120607,4.8,77
tt0120624,6.6,169
tt0120626,7.1,3135
tt0120630,7.1,187898
tt0120667,5.7,324827
tt0120679,7.3,88625
tt0120681,6.8,153145
tt0120698,4.4,358
tt0120733,5.6,347
tt0120737,8.8,1791993
tt0120753,5.8,21512
tt0120755,6.1,333484
tt0120804,6.6,264882
tt0120807,4.9,316
tt0120824,6.7,32876
tt0120903,7.4,602098
tt0120912,6.1,366112
tt0120913,6.6,60861
tt0120917,7.4,197251
tt0121164,7.3,263945
tt0121765,6.6,686197
tt0121766,7.6,760671
tt0122161,4.8,378
tt0122247,5.2,770
tt0122459,6.9,20998
tt0123003,6.0,1526
tt0123055,3.7,135
tt0123581,4.8,71
tt0124889,5.3,110
tt0125022,6.2,54073
tt0126029,7.9,657313
tt0126899,2.8,107
tt0127349,6.5,7195
tt0128158,4.7,102
tt0128165,4.0,73
tt0128216,3.3,291
tt0130623,6.4,59294
tt0131597,4.8,24
tt0131704,4.2,20241
tt0132078,6.1,237
tt0132245,4.6,40975
tt0132885,4.6,383
tt0132910,4.9,11487
tt0133063,7.7,329
tt0133152,5.7,217708
tt0133240,7.1,114225
tt0133752,6.5,105
tt0134084,5.6,139831
tt0134630,6.1,9575
tt0134847,7.1,236104
tt0134983,4.8,17912
tt0135707,6.3,382
tt0135991,4.0,150
tt0136517,3.0,118
tt0137204,8.7,290
tt0138288,6.4,81
tt0138353,5.5,643
tt0138524,6.3,96492
tt0138749,6.9,93623
tt0138818,6.4,101
tt0138927,6.4,433
tt0138946,6.4,21245
tt0139159,7.7,9
tt0139388,5.6,2093
tt0139500,7.1,1516
tt0139654,7.7,422965
tt0140806,6.6,104
tt0141120,4.0,360
tt0141907,4.5,4959
tt0141926,6.6,81874
tt0142634,3.1,671
tt0142650,4.5,267
tt0143344,4.0,205
tt0143558,4.9,66
tt0144084,7.6,561370
tt0144142,5.1,3844
tt0144280,4.4,77
tt0144528,4.4,50649
tt0144574,6.6,88
tt0144608,4.5,648
tt0144964,4.6,20268
tt0145487,7.4,791421
tt0146063,6.2,333
tt0146272,4.9,134
tt0146309,7.3,58285
tt0146316,5.7,207260
tt0146803,7.5,522
tt0146882,7.5,177721
tt0146984,6.7,56610
tt0147447,5.8,12
tt0147486,4.0,126
tt0148120,6.7,29
tt0148415,4.1,65
tt0148421,6.5,331
tt0149253,5.9,230
tt0149367,6.3,6070
tt0149624,5.8,14888
tt0150021,4.5,1862
tt0151150,6.1,10106
tt0151299,4.9,19
tt0151309,5.7,147
tt0151685,7.0,20
tt0152083,5.8,83
tt0153012,4.1,110
tt0153100,6.8,45
tt0153464,6.0,2714
tt0153533,3.7,111
tt0154187,6.7,124
tt0155150,5.0,397
tt0155723,6.8,332
tt0155754,6.2,712
tt0156020,6.1,668
tt0156100,3.9,135
tt0156323,5.6,9091
tt0156376,5.4,113
tt0156741,5.0,631
tt0156757,5.9,2020
tt0156807,4.3,1124
tt0156812,7.0,20440
tt0156841,4.6,11265
tt0156942,5.5,186
tt0157007,3.7,355
tt0157191,5.3,1521
tt0157202,4.8,73
tt0157262,3.4,12014
tt0157472,5.2,14166
tt0157583,6.4,20981
